priority_tier,analysis_score,num,start_bjt,format,league,teams,event_slug,market_count,game_markets,recommended_action,rationale
C 低优先/剔除池,26,94,2026-06-11 23:00,BO3,EMEA Masters Group D,Solary vs Eintracht Spandau,lol-sly-es1-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,95,2026-06-11 23:00,BO3,EMEA Masters Group C,G2 NORD vs Galions,lol-g2nord-gal-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,96,2026-06-12 00:45,BO3,EMEA Masters Group C,Partizan Sangal vs WLGaming Esports,lol-ps1-wlg-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,97,2026-06-12 01:10,BO3,EMEA Masters Group B,Team Heretics Academy vs Forsaken,lol-hrts-fsk-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,98,2026-06-12 01:20,BO3,EMEA Masters Group B,Karmine Corp Blue vs PCIFIC,lol-kcb-pcific-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,99,2026-06-12 01:30,BO3,EMEA Masters Group A,E WIE EINFACH E-SPORTS vs HMBLE,lol-ewi-hmble-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,103,2026-06-12 23:00,BO3,EMEA Masters Group C,G2 NORD vs WLGaming Esports,lol-g2nord-wlg-2026-06-12,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,104,2026-06-12 23:00,BO3,EMEA Masters Group A,Misa Esports vs E WIE EINFACH E-SPORTS,lol-me1-ewi-2026-06-12,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,105,2026-06-13 00:50,BO3,EMEA Masters Group D,Eintracht Spandau vs Anubis Gaming,lol-es1-anb-2026-06-12,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,26,106,2026-06-13 02:10,BO3,EMEA Masters Group B,Forsaken vs Karmine Corp Blue,lol-fsk-kcb-2026-06-12,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；次级欧洲赛事，资料中等
C 低优先/剔除池,25,71,2026-06-09 14:00,BO3,Asia Masters Group A,Dplus KIA Challengers vs Top Esports Challenger,lol-dkc-tesc-2026-06-09,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,25,72,2026-06-09 16:00,BO3,Asia Masters Group B,Bilibili Gaming Junior vs T1 Academy,lol-blgj-t1a-2026-06-09,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,25,73,2026-06-09 17:30,BO3,Asia Masters Group C,Nongshim Esports Academy vs Weibo Gaming Youth Team,lol-nsea-wbgy-2026-06-09,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,25,78,2026-06-10 15:45,BO3,Asia Masters Group B,FENNEL vs KT Rolster Challengers,lol-fnl-ktc-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,25,79,2026-06-10 18:00,BO3,Asia Masters Group A,EDward Gaming Youth Team vs CTBC Flying Oyster Academy,lol-edgy-ctbca-2026-06-10,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,25,90,2026-06-11 14:00,BO3,Asia Masters Group C,Weibo Gaming Youth Team vs Saigon Warriors,lol-wbgy-sgw-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,25,91,2026-06-11 18:00,BO3,Asia Masters Group A,Top Esports Challenger vs CTBC Flying Oyster Academy,lol-tesc-ctbca-2026-06-11,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性
C 低优先/剔除池,11,11,2026-06-03 16:00,BO3,LJL Regular Season,DetonatioN FocusMe Academy vs Arneb,lol-dfma-arb1-2026-06-03,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；常规赛优先级较低
C 低优先/剔除池,11,13,2026-06-03 18:15,BO3,LJL Regular Season,Uwinks vs New Meta,lol-uwinks-newmet-2026-06-03,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；常规赛优先级较低
C 低优先/剔除池,11,17,2026-06-04 16:10,BO3,LJL Regular Season,L Guide Gaming vs RAYN Clocks,lol-lguide-rck-2026-06-04,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO3 有一定可建模性；常规赛优先级较低
C 低优先/剔除池,7,42,2026-06-08 16:50,BO1,Asia Masters Group C,Weibo Gaming Youth Team vs Saigon Dino,lol-wbgy-dino-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高
C 低优先/剔除池,7,44,2026-06-08 17:50,BO1,Asia Masters Group B,T1 Academy vs KT Rolster Challengers,lol-t1a-ktc-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高
C 低优先/剔除池,7,45,2026-06-08 18:40,BO1,Asia Masters Group A,CTBC Flying Oyster Academy vs Top Esports Challenger,lol-ctbca-tesc-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高
C 低优先/剔除池,3,46,2026-06-08 23:00,BO1,EMEA Masters Swiss Stage,Karmine Corp Blue vs Partizan Sangal,lol-kcb-ps1-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,47,2026-06-08 23:00,BO1,EMEA Masters Swiss Stage,GMBLERS ESPORTS vs NightBirds,lol-gmb-nbs-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,48,2026-06-08 23:00,BO1,EMEA Masters Swiss Stage,GOAL vs mCon esports,lol-goal-mcn-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,49,2026-06-08 23:00,BO1,EMEA Masters Swiss Stage,BOMBA Team vs MAGAZA,lol-bombat-mgz-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,50,2026-06-08 23:00,BO1,EMEA Masters Swiss Stage,Frites Esports Club vs The Ruddy Sack,lol-fec-rs-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,51,2026-06-08 23:00,BO1,EMEA Masters Swiss Stage,CITA Kaizen vs Bubliki,lol-ckz-bublik-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,52,2026-06-08 23:00,BO1,EMEA Masters Swiss Stage,FN Esports vs Verdant,lol-fn-vdn-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,53,2026-06-08 23:15,BO1,EMEA Masters Swiss Stage,E WIE EINFACH E-SPORTS vs The Otter Side,lol-ewi-tos-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,55,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,Karmine Corp Blue vs CITA Kaizen,lol-kcb-ckz-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,56,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,GOAL vs Verdant,lol-goal-vdn-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,57,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,E WIE EINFACH E-SPORTS vs NightBirds,lol-ewi-nbs-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,58,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,FN Esports vs mCon esports,lol-fn-mcn-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,59,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,GMBLERS ESPORTS vs The Otter Side,lol-gmb-tos-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,60,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,Partizan Sangal vs Bubliki,lol-ps1-bublik-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,61,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,Frites Esports Club vs MAGAZA,lol-fec-mgz-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,62,2026-06-09 00:30,BO1,EMEA Masters Swiss Stage,BOMBA Team vs The Ruddy Sack,lol-bombat-rs-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,63,2026-06-09 02:00,BO1,EMEA Masters Swiss Stage,Karmine Corp Blue vs Verdant,lol-kcb-vdn-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,64,2026-06-09 02:00,BO1,EMEA Masters Swiss Stage,BOMBA Team vs The Otter Side,lol-bombat-tos-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,65,2026-06-09 02:00,BO1,EMEA Masters Swiss Stage,FN Esports vs Frites Esports Club,lol-fn-fec-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,66,2026-06-09 03:10,BO1,EMEA Masters Swiss Stage,BOMBA Team vs Frites Esports Club,lol-bombat-fec-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,68,2026-06-09 03:20,BO1,EMEA Masters Swiss Stage,The Otter Side vs mCon esports,lol-tos-mcn-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,3,69,2026-06-09 04:25,BO1,EMEA Masters Swiss Stage,BOMBA Team vs mCon esports,lol-bombat-mcn-2026-06-08,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；次级欧洲赛事，资料中等
C 低优先/剔除池,0,144,2026-06-30 21:00,BO2,HLL Regular Season,Valerion vs ALMO Players,lol-vlr-almo-2026-06-30,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO2 规则/结算复杂度高；常规赛优先级较低
C 低优先/剔除池,0,145,2026-06-30 23:00,BO1,Prime League 1st Division Regular Season,E WIE EINFACH E-SPORTS vs BIG,lol-ewi-big1-2026-06-30,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；常规赛优先级较低
C 低优先/剔除池,0,146,2026-06-30 23:00,BO2,HLL Regular Season,Gamespace Mediterranean College Esports vs WLGaming Esports,lol-gsmc-wlg-2026-06-30,3,2,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO2 规则/结算复杂度高；常规赛优先级较低
C 低优先/剔除池,0,147,2026-07-01 00:15,BO1,Prime League 1st Division Regular Season,Eintracht Frankfurt vs Unicorns Of Love Sexy Edition,lol-sge-use1-2026-06-30,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；常规赛优先级较低
C 低优先/剔除池,0,148,2026-07-01 01:15,BO1,Prime League 1st Division Regular Season,G2 NORD vs ROSSMANN Centaurs,lol-g2nord-ross-2026-06-30,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；常规赛优先级较低
C 低优先/剔除池,0,149,2026-07-01 02:15,BO1,Prime League 1st Division Regular Season,Kaufland Hangry Knights vs Eintracht Spandau,lol-khk-es1-2026-06-30,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；常规赛优先级较低
C 低优先/剔除池,0,150,2026-07-01 03:15,BO1,Prime League 1st Division Regular Season,VfB eSports vs Team Orange Gaming,lol-vfb-tog-2026-06-30,1,0,信息噪音或方差偏高，默认不做深度策略，只保留监控。,BO1 方差高；常规赛优先级较低
